N=25: T=1.28125
N=30: T=1.484375
N=35: T=1.671875
N=40: T=1.859375
N=45: T=2.015625
N=50: T=2.171875
N=55: T=2.390625
N=60: T=2.5625
N=65: T=2.71875
N=70: T=2.90625
N=75: T=3.109375
N=80: T=3.25
N=85: T=3.46875
N=90: T=3.703125
N=95: T=3.828125
N=100: T=4.03125
N=105: T=4.171875
N=110: T=4.375
N=115: T=4.59375
N=120: T=4.734375
N=125: T=4.859375
N=130: T=5.09375
N=135: T=5.28125
N=140: T=5.453125
N=145: T=5.640625
N=150: T=5.8125
N=155: T=6.0
N=160: T=6.15625
N=165: T=6.3125
N=170: T=6.609375
N=175: T=6.734375
N=180: T=6.953125
N=185: T=7.09375
N=190: T=7.25
N=195: T=7.453125
