N=25: T=2.140625
N=30: T=2.53125
N=35: T=2.875
N=40: T=3.21875
N=45: T=3.625
N=50: T=3.984375
N=55: T=4.328125
N=60: T=4.734375
N=65: T=5.0625
N=70: T=5.421875
N=75: T=5.765625
N=80: T=6.109375
N=85: T=6.46875
N=90: T=6.84375
N=95: T=7.203125
N=100: T=7.515625
N=105: T=7.921875
N=110: T=8.28125
N=115: T=8.671875
N=120: T=9.0
N=125: T=9.34375
N=130: T=9.765625
N=135: T=None (failed)
