N=25: T=0.859375
N=30: T=0.875
N=35: T=0.921875
N=40: T=1.03125
N=45: T=1.03125
N=50: T=1.046875
N=55: T=1.125
N=60: T=1.125
N=65: T=1.15625
N=70: T=1.15625
N=75: T=1.1875
N=80: T=1.1875
N=85: T=1.1875
N=90: T=1.234375
N=95: T=1.234375
N=100: T=1.25
N=105: T=1.25
N=110: T=1.25
N=115: T=1.3125
N=120: T=1.34375
N=125: T=1.34375
N=130: T=1.375
N=135: T=1.40625
N=140: T=1.46875
N=145: T=1.5
N=150: T=1.515625
N=155: T=1.515625
N=160: T=1.546875
N=165: T=1.546875
N=170: T=1.546875
N=175: T=1.625
N=180: T=1.625
N=185: T=1.65625
N=190: T=1.703125
N=195: T=1.703125
