N=25: T=0.59375
N=30: T=0.6875
N=35: T=0.78125
N=40: T=0.859375
N=45: T=0.890625
N=50: T=0.9375
N=55: T=0.984375
N=60: T=0.984375
N=65: T=1.0
N=70: T=1.0625
N=75: T=1.078125
N=80: T=1.078125
N=85: T=1.09375
N=90: T=1.125
N=95: T=1.125
N=100: T=1.140625
N=105: T=1.140625
N=110: T=1.21875
N=115: T=1.234375
N=120: T=1.234375
N=125: T=1.265625
N=130: T=1.296875
N=135: T=1.375
N=140: T=1.375
N=145: T=1.390625
N=150: T=1.390625
N=155: T=1.390625
N=160: T=1.390625
N=165: T=1.390625
N=170: T=1.40625
N=175: T=1.40625
N=180: T=1.40625
N=185: T=1.484375
N=190: T=1.53125
N=195: T=1.546875
