N=25: T=0.78125
N=30: T=0.84375
N=35: T=1.140625
N=40: T=1.140625
N=45: T=1.234375
N=50: T=1.390625
N=55: T=1.40625
N=60: T=1.4375
N=65: T=1.5
N=70: T=1.5625
N=75: T=1.640625
N=80: T=1.71875
N=85: T=1.75
N=90: T=1.75
N=95: T=1.8125
N=100: T=1.875
N=105: T=1.921875
N=110: T=1.9375
N=115: T=1.953125
N=120: T=1.953125
N=125: T=2.125
N=130: T=2.203125
N=135: T=2.234375
N=140: T=2.375
N=145: T=2.375
N=150: T=2.40625
N=155: T=2.40625
N=160: T=2.4375
N=165: T=2.453125
N=170: T=2.515625
N=175: T=2.515625
N=180: T=2.53125
N=185: T=2.546875
N=190: T=2.546875
N=195: T=2.6875
