N=25: T=0.953125
N=30: T=1.0625
N=35: T=1.203125
N=40: T=1.234375
N=45: T=1.40625
N=50: T=1.5
N=55: T=1.625
N=60: T=1.6875
N=65: T=1.796875
N=70: T=1.921875
N=75: T=2.015625
N=80: T=2.125
N=85: T=2.25
N=90: T=2.34375
N=95: T=2.453125
N=100: T=2.546875
N=105: T=2.65625
N=110: T=2.78125
N=115: T=2.859375
N=120: T=3.015625
N=125: T=3.125
N=130: T=3.15625
N=135: T=3.34375
N=140: T=3.4375
N=145: T=3.546875
N=150: T=3.671875
N=155: T=3.734375
N=160: T=3.890625
N=165: T=4.0
N=170: T=4.09375
N=175: T=4.1875
N=180: T=4.265625
N=185: T=4.40625
N=190: T=4.546875
N=195: T=4.59375
