N=25: T=1.90625
N=30: T=2.25
N=35: T=2.65625
N=40: T=2.953125
N=45: T=3.3125
N=50: T=3.640625
N=55: T=4.0
N=60: T=4.359375
N=65: T=4.6875
N=70: T=5.015625
N=75: T=5.34375
N=80: T=5.71875
N=85: T=6.0625
N=90: T=6.390625
N=95: T=6.78125
N=100: T=7.09375
N=105: T=7.421875
N=110: T=7.8125
N=115: T=8.171875
N=120: T=8.453125
N=125: T=8.84375
N=130: T=9.21875
N=135: T=9.578125
N=140: T=9.875
N=145: T=None (failed)
