N=25: T=0.8125
N=30: T=0.921875
N=35: T=0.96875
N=40: T=1.0625
N=45: T=1.21875
N=50: T=1.3125
N=55: T=1.4375
N=60: T=1.515625
N=65: T=1.609375
N=70: T=1.765625
N=75: T=1.828125
N=80: T=1.9375
N=85: T=2.015625
N=90: T=2.09375
N=95: T=2.25
N=100: T=2.328125
N=105: T=2.40625
N=110: T=2.578125
N=115: T=2.671875
N=120: T=2.71875
N=125: T=2.859375
N=130: T=2.9375
N=135: T=3.0625
N=140: T=3.171875
N=145: T=3.234375
N=150: T=3.375
N=155: T=3.484375
N=160: T=3.578125
N=165: T=3.65625
N=170: T=3.765625
N=175: T=3.875
N=180: T=3.984375
N=185: T=4.0625
N=190: T=4.203125
N=195: T=4.265625
