N=25: T=0.5625
N=30: T=0.71875
N=35: T=0.765625
N=40: T=0.828125
N=45: T=0.890625
N=50: T=0.96875
N=55: T=1.015625
N=60: T=1.078125
N=65: T=1.140625
N=70: T=1.234375
N=75: T=1.3125
N=80: T=1.359375
N=85: T=1.453125
N=90: T=1.5625
N=95: T=1.5625
N=100: T=1.578125
N=105: T=1.6875
N=110: T=1.78125
N=115: T=1.8125
N=120: T=1.890625
N=125: T=2.0
N=130: T=2.015625
N=135: T=2.125
N=140: T=2.203125
N=145: T=2.25
N=150: T=2.3125
N=155: T=2.375
N=160: T=2.484375
N=165: T=2.53125
N=170: T=2.625
N=175: T=2.6875
N=180: T=2.734375
N=185: T=2.796875
N=190: T=2.859375
N=195: T=2.921875
