N=25: T=1.234375
N=30: T=1.59375
N=35: T=1.625
N=40: T=1.625
N=45: T=1.734375
N=50: T=1.859375
N=55: T=1.90625
N=60: T=1.96875
N=65: T=2.15625
N=70: T=2.28125
N=75: T=2.3125
N=80: T=2.375
N=85: T=2.53125
N=90: T=2.53125
N=95: T=2.6875
N=100: T=2.703125
N=105: T=2.734375
N=110: T=2.8125
N=115: T=2.859375
N=120: T=2.859375
N=125: T=2.859375
N=130: T=2.921875
N=135: T=2.9375
N=140: T=2.96875
N=145: T=2.96875
N=150: T=3.03125
N=155: T=3.03125
N=160: T=3.046875
N=165: T=3.125
N=170: T=3.25
N=175: T=3.25
N=180: T=3.25
N=185: T=3.25
N=190: T=3.265625
N=195: T=3.265625
