N=25: T=1.078125
N=30: T=1.296875
N=35: T=1.421875
N=40: T=1.59375
N=45: T=1.796875
N=50: T=1.984375
N=55: T=2.15625
N=60: T=2.328125
N=65: T=2.5
N=70: T=2.671875
N=75: T=2.828125
N=80: T=3.015625
N=85: T=3.21875
N=90: T=3.3125
N=95: T=3.53125
N=100: T=3.71875
N=105: T=3.90625
N=110: T=4.03125
N=115: T=4.21875
N=120: T=4.40625
N=125: T=4.515625
N=130: T=4.71875
N=135: T=4.953125
N=140: T=5.078125
N=145: T=5.265625
N=150: T=5.453125
N=155: T=5.640625
N=160: T=5.765625
N=165: T=5.96875
N=170: T=6.15625
N=175: T=6.296875
N=180: T=6.46875
N=185: T=6.59375
N=190: T=6.84375
N=195: T=7.0
