N=25: T=0.703125
N=30: T=0.84375
N=35: T=0.84375
N=40: T=0.90625
N=45: T=0.90625
N=50: T=0.90625
N=55: T=0.90625
N=60: T=0.90625
N=65: T=0.90625
N=70: T=0.90625
N=75: T=0.90625
N=80: T=0.90625
N=85: T=0.90625
N=90: T=0.9375
N=95: T=0.9375
N=100: T=0.953125
N=105: T=0.953125
N=110: T=0.953125
N=115: T=0.96875
N=120: T=1.015625
N=125: T=1.015625
N=130: T=1.015625
N=135: T=1.03125
N=140: T=1.046875
N=145: T=1.09375
N=150: T=1.09375
N=155: T=1.09375
N=160: T=1.109375
N=165: T=1.109375
N=170: T=1.125
N=175: T=1.125
N=180: T=1.125
N=185: T=1.15625
N=190: T=1.15625
N=195: T=1.15625
