N=25: T=1.140625
N=30: T=1.234375
N=35: T=1.40625
N=40: T=1.546875
N=45: T=1.65625
N=50: T=1.84375
N=55: T=2.03125
N=60: T=2.140625
N=65: T=2.265625
N=70: T=2.484375
N=75: T=2.5625
N=80: T=2.734375
N=85: T=2.890625
N=90: T=3.0
N=95: T=3.203125
N=100: T=3.34375
N=105: T=3.4375
N=110: T=3.578125
N=115: T=3.71875
N=120: T=3.84375
N=125: T=4.03125
N=130: T=4.140625
N=135: T=4.296875
N=140: T=4.5
N=145: T=4.578125
N=150: T=4.765625
N=155: T=4.890625
N=160: T=5.046875
N=165: T=5.171875
N=170: T=5.328125
N=175: T=5.421875
N=180: T=5.625
N=185: T=5.765625
N=190: T=5.890625
N=195: T=6.0625
